id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag,notes,disagreement
736,"V angleščini se to super dobro da povedati: ""You should never miss a good opportunity to shut up.",2023-04-07 13:51:27,,sarcasm,Negative,,,,,2023-04-07 13:58:07,,Sarcasm.,Negative,,,,Negative,,0.0
737,"Lahko izražajo neko mnenje, v resnici pa nimajo nobenega vpliva na številčnost divjadi in seveda s tem posredno tudi ne na škodo, ki nastaja.",2023-04-07 13:51:53,,,N_Neutral,,,,,2023-04-07 13:59:16,,,Negative,"Implied, very negative opinion. ",,"I think the opinion is heavily implied, and that it is very negative and accusatory in tone. ",Negative,,1.0
738,"Vidim, da so nekateri poslanci začeli z osebnimi napadi, recimo temu tako, name, vendar me to ne bo zmedlo.",2023-04-07 13:52:07,,Very negative.,Negative,,,,,2023-04-07 14:01:41,1.0,"If it wasn't for tthe last part, I would say that would be negative; as is, I think the last part still has a positive sentiment, so mixed.",M_Positive,,,"I agree with Tamara, and as per my comment it could also be Negative; so change to Negative",Negative,,1.0
739,"Drugič, dopustila, da razpade sistem sledenja in izdajanja odločb o okužbi.",2023-04-07 13:52:37,,"""Razpade"" implies very negative.",Negative,,,,,2023-04-07 14:02:56,,"Sounds like counting offenses of the other speaker/party, negative.",Negative,,,,Negative,,0.0
740,"oktobra je namreč v Kopru potekala akcija Objem mesta, ki jo je organiziralo korsko društvo Prijateljev mladine ob šestdeseti obletnici ustanovitve in v času Tedna otroka.",2023-04-07 13:53:12,,"Factual statement, nothing inherently negative.",P_Neutral,,,,,2023-04-07 14:04:31,,"Factual statement, report on past events.",P_Neutral,,,,P_Neutral,,0.0
741,"Ugotavljamo, da gre za popravke in izboljšave, ki so se izkazali za potrebne po uveljavitvi obeh zakonov.",2023-04-07 13:53:56,,Positive statement.,P_Neutral,,,,,2023-04-07 14:05:48,,,P_Neutral,,,,P_Neutral,,0.0
742,"Prav tako bodo dodatne finančne spodbude prejele občine, ki imajo skupne občinske uprave.",2023-04-07 13:55:41,,,P_Neutral,,,,,2023-04-07 14:06:07,,Factual statement.,P_Neutral,,,,P_Neutral,,0.0
743,"Ker je predlog potrebno osvoboditi tudi z zgodovinskega vidika, je potrebno v celoti navesti stališče ustavnega sodišča Republike Slovenije iz odločbe iz leta 1998.",2023-04-07 13:57:56,,Nothing inherently negativen,P_Neutral,,,,,2023-04-07 14:09:08,1.0,"Statement, where the word ""osvoboditi"" makes me think of negative connotation. But could also be entirey neutral",N_Neutral,,,"I agree with Tamara, change",P_Neutral,,1.0
744,"Zato je, gospod minister, to čista fikcija.",2023-04-07 13:58:15,,"Sarcasm, negative.",Negative,,,,,2023-04-07 14:09:14,,,Negative,,,,Negative,,0.0
745,Novela Zakona o varstvu pred požarom pomeni implementacijo direktive Evropskega parlamenta in Sveta o storitvah na notranjem trgu.,2023-04-07 13:59:24,,"Nothing inherently negative, factual statement.",P_Neutral,,,,,2023-04-07 14:10:56,,,P_Neutral,,,,P_Neutral,,0.0
746,"In danes spremljamo to razpravo, polno neverjetnih obratov, ki so način meglenja realnosti situacije, v kateri se je Slovenija znašla.",2023-04-07 13:59:44,,"Negative words,opinion implied.",Negative,,,,,2023-04-07 14:11:25,,,Negative,,,,Negative,,0.0
747,"Zelo na kratko, bolj lirično kot epsko bom šel skozi vse te zadeve.",2023-04-07 14:01:12,,Nothing inherently negative.,P_Neutral,,,,,2023-04-07 14:12:30,,"Statement, nothing negative.",P_Neutral,,,,P_Neutral,,0.0
748,"] [[...]]časoven trenutek deli porabo sredstev - tisto, kar bo dano, kar bo plačano kot anuiteta.",2023-04-07 14:01:36,,Nothing inherently negative.,P_Neutral,,,,,2023-04-07 14:13:31,,"Factual statement, nothing inherently negative",P_Neutral,,,,P_Neutral,,0.0
749,"Majhne hitrosti, slaba nosilnost, dolgi potovalni časi, zamude itn.",2023-04-07 14:02:02,,"Naming bad things, factual statement.",N_Neutral,,,,,2023-04-07 14:15:10,1.0,"Statement, negative topics but not really that negative..",N_Neutral,,,,N_Neutral,,0.0
750,"Mogoče tudi zaradi tega veliko več, ker prihajam iz dela Slovenije, Slovenskih goric, ki so daleč od velike, bele, cvetoče Ljubljane.",2023-04-07 14:03:02,,"Lacks context, nothing inherently negative.",P_Neutral,,,,,2023-04-07 14:16:52,,,N_Neutral,"Definitely could remain P_Neutral, but if we look at it from a sarcastic pont of you, then I agree with N_neutral. ",,"I guess that it could also be P_Neural, but I have a feeling (because of the wording) that it is not meant as that and that it has negative connotation",N_Neutral,,1.0
751,"Nekoga, ki ga ne bo maral, ki bo samo dišal po alkoholu, bo rekel, ""aha, je do vključno 0,24 miligrama"".",2023-04-07 14:03:54,1.0,Probably my bias but this is weird and negative.,Negative,,,,,2023-04-07 14:17:20,,Sarcasm?,Negative,,,,Negative,,0.0
752,"Tudi primorska strast ne upravičuje nestrpnosti in žaljenja in tistega negativizma, ki smo mu bili priča malo prej.",2023-04-07 14:04:03,,Very negative.,Negative,,,,,2023-04-07 14:18:06,,Explicit negative position of the speaker.,Negative,,,,Negative,,0.0
753,"Prav bi bilo, da bi se izvršila tudi deratizacija, prav bi bilo, da bi se zgodilo še kaj drugega, da se ta sindrom ne bo ponavljal.",2023-04-07 14:04:58,,Something should happen to prevent something bad.,M_Positive,,,,,2023-04-07 14:19:23,,Heavily implied opinion of the speaker.,Negative,,,"I agree with Tamara, change",M_Positive,,1.0
754,"Ta spontani scenarij bi povzročil 10,3% povišanje plač javnih uslužbencev v letu 2010.",2023-04-07 14:06:03,,,P_Neutral,,,,,2023-04-07 14:21:12,,Factual statement of very positive topic,P_Neutral,,,,P_Neutral,,0.0
755,"V skladu z drugim odstavkom 246. člena Poslovnika Državnega zbora, gospod minister, v skladu s poslovnikom predlagam, da opravi Državni zbor razpravo o odgovoru ministra.",2023-04-07 14:06:47,,"Just a request, no real opinion. Seems negative.",N_Neutral,,,,,2023-04-07 14:23:02,,,N_Neutral,,,,N_Neutral,,0.0
756,"Nikoli ne rečemo, da smo to storili sami.",2023-04-07 14:08:33,1.0,Could also be P_Neutral.,N_Neutral,,,,,2023-04-07 14:23:34,,"Opinion, but negative connotation, weak",N_Neutral,,,,N_Neutral,,0.0
757,"Kljub temu pa je žalostno in tragično, da je bil ravno ta sloj v preteklih šestdesetih letih deležen izrazitega poniževanja.",2023-04-07 14:09:09,,Strong negative words.,Negative,,,,,2023-04-07 14:23:40,,,Negative,,,,Negative,,0.0
758,"Multikulturnost je bil napad na ženske tam v Barceloni, multikulti je bil Bataclan, klavnica, kjer so ljudi še strahotno mučili zraven, gore posilstev, gore vsega.",2023-04-07 14:09:30,,Very strong negative words!!,Negative,,,,,2023-04-07 14:23:50,,,Negative,,,,Negative,,0.0
759,"In to so neupravičeni strahovi ljudi, ki so bili sproducirani skozi take ekofundamentaliste, zelene fundametaliste, ekstremiste.",2023-04-07 14:11:34,,Strong negative words.,Negative,,,,,2023-04-07 14:24:00,,,Negative,,,,Negative,,0.0
760,"Ne le, da ni povzdignil glasu, očitno je tako ravnanje razumel, kot edino sprejemljivo.",2023-04-07 14:12:32,,sarcasm,Negative,,,,,2023-04-07 14:24:48,1.0,"Accusation, negative, not really statement-like...",Negative,,,,Negative,,0.0
761,"To je, bom rekel, tisto, kar mene moti in zaradi česar sem bil prej pač ustrezno oster.",2023-04-07 14:12:43,,exoressed opinion,Negative,,,,,2023-04-07 14:25:09,,,Negative,,,,Negative,,0.0
762,"Torej govorimo o ljudeh, ki so utrpeli posledice zaradi izpostavljenosti azbestu.",2023-04-07 14:12:56,,negative consequences,Negative,,,,,2023-04-07 14:26:27,1.0,Statement with negative connotation. Could also be negative.,N_Neutral,,,"I guess the topic is very negative, change to Negative",Negative,,1.0
763,"Vas, pravite, da je strah komunicirati po telefonu.",2023-04-07 14:13:59,,"just a statement, could be negative as if could be mockery.",N_Neutral,,,,,2023-04-07 14:26:54,,"Very neutral, negative connotation.",N_Neutral,,,,N_Neutral,,0.0
764,"V Poslanski skupini Liste Marjana Šarca menimo, da je vloga parlamentarne preiskave, če bo do nje prišlo, dobrodošla, saj bo prispevala k celovitemu pristopu zdravstvene reforme.",2023-04-07 14:14:12,,expressed opinion,Positive,,,,,2023-04-07 14:27:26,,"Explicit speaker opinion , positive",Positive,,,,Positive,,0.0
765,"Kako naj verjamem, da so navdušeni nad nižjo članarino, ko istočasno rečejo, da pa dejavnosti, ki so jih opravljali, jih ne bodo več.",2023-04-07 14:15:02,,implied negative opinion.,Negative,,,,,2023-04-07 14:28:30,,"First positive, second negative.",M_Negative,,,"I have no idea what I was thinking, yes, it is Negative",Negative,,1.0
766,"Glede na to, da je eden izmed ponudnikov vložil revizijo zoper navedeni razpis, se trenutno čaka na odločitev Državne revizijske komisije.",2023-04-07 14:15:17,,"statement, negative sentiment.",N_Neutral,,,,,2023-04-07 19:44:08,,"Statement, negative connotation",N_Neutral,,,,N_Neutral,,0.0
767,"Razvoj je proces, ko s sistematičnimi in natančno opredeljenimi ukrepi rešujemo družbene probleme in uspeh teh posegov merimo z učinkom, ki ga ima na problem, ki ga rešujemo.",2023-04-07 14:16:56,,,P_Neutral,,,,,2023-04-07 19:44:49,,"Factual statement, nothing inh. negative",P_Neutral,,,,P_Neutral,,0.0
768,Vse to kliče po nujnem in takojšnjem reševanju pereče problematike.,2023-04-07 14:17:17,,,N_Neutral,,,,,2023-04-07 19:46:50,1.0,"Statement, call for action, negative connotation, but could also be fully neutral.",N_Neutral,,,,N_Neutral,,0.0
769,"To je hendikep predvsem iz vidika podeželja, kjer je gostota poseljenosti zelo majhna.",2023-04-07 14:17:40,,factual statement,N_Neutral,,,,,2023-04-07 19:47:24,,"Statement, negative connotation",N_Neutral,,,,N_Neutral,,0.0
770,"Ljubljančanke in Ljubljančani smo dolga leta zapored začudeno opazovali dograjen del UKC Ljubljana, ki se ni premaknil s točke mrtvila dolgo časa.",2023-04-07 14:17:52,,expressed opinion,Negative,,,,,2023-04-07 19:50:21,,"Statement, negative connotation.",N_Neutral,"I guess there is no actual opinion, so it is a statement. ",,I still think it is more of a statement and neutral than fully negative,N_Neutral,,1.0
771,"Pa ne samo njih, kaznoval je tudi narod.",2023-04-07 14:18:01,,very negative statement,Negative,,,,,2023-04-07 21:01:24,,,Negative,,,,Negative,,0.0
772,"Najslabše pa je politično upravljanje gospodarstva, kakršnemu smo priča tudi danes.",2023-04-07 14:18:15,,implied very negative opinion.,Negative,,,,,2023-04-07 21:01:46,,Opinion heavily implied,Negative,,,,Negative,,0.0
773,"O tem smo tudi opozarjali, tudi sama sem s poslanskimi vprašanji opozarjala na to 30-procentno povečano debelost med otroci, kar seveda se samo nalaga na vse tiste duševne zgodbe.",2023-04-07 14:18:29,,very negative,Negative,,,,,2023-04-07 21:02:53,,Negative statement,N_Neutral,,,"I guess that direct opinion is expressed, so Negative",Negative,,1.0
774,"In brez skrbi bodite, da ga bodo trgovci znali vkalkulirati v cene.",2023-04-07 14:19:48,,could also be P_Neutral (nothing inherently negative) but my gut feeling tells me otherwise.,N_Neutral,,,,,2023-04-07 21:04:03,,"Opinion implied, negative",Negative,I'd stick with N_Neutral. ,,"At most I would change to N_Neutral, as the implications are of negative sentiment",N_Neutral,,1.0
775,"Hitra cesta je zgolj hrbtenica tretje razvojne osi in seveda je pomembno, kje je umeščena ta cesta, ker se bo ob tej cesti razvijalo gospodarstvo.",2023-04-07 14:23:02,,,P_Neutral,,,,,2023-04-07 21:04:51,,"Statement, nothing inherently negative",P_Neutral,,,,P_Neutral,,0.0
776,"Zahod, da rečem tako, je pomagal to državo razrušiti.",2023-04-07 14:23:15,,strong negative words.,Negative,,,,,2023-04-07 21:05:04,,Explicit opinion,Negative,,,,Negative,,0.0
777,"Ker pa seveda državni tožilec in preiskovalni sodnik, niste bili obveščena, da je na mestu tudi indic suma kaznivega dejanja:",2023-04-07 14:23:45,,strong negative words,Negative,,,,,2023-04-07 21:05:54,,"Statement, negative connotation",N_Neutral,,,I agree with Tamara,Negative,,1.0
778,"Kar naenkrat, tisto, kar ste leta 2004 razglašali za sveto, ni več v redu!",2023-04-07 14:24:08,,"accusatiry, opinion clear",Negative,,,,,2023-04-07 21:06:20,,,Negative,,,,Negative,,0.0
779,Morajo pa biti ti kriteriji jasni in na odkrit in korekten način tudi priznani.,2023-04-07 14:24:21,,factual statement.,P_Neutral,,,,,2023-04-07 21:06:45,,"Statement, positive connotation",P_Neutral,,,,P_Neutral,,0.0
780,"Dosegljiv mora biti 24 ur na dan, pogoji za možnost na trgu dela pa so omejeni.",2023-04-07 14:24:45,,positive + negative - negative trumps,M_Negative,,,,,2023-04-07 21:07:19,,"Statement, negative connotation.",N_Neutral,I agree. On second look I don't see mixed at all. ,,"I do not think that the first part is really positive, so I would stay with N_Neutral",N_Neutral,,1.0
781,"Sama direktiva namreč izrecno zahteva, da se mora nacionalna zakonodajasklicevati na direktivo, kar je za slovensko nomotehnično teorijo in prakso nezaželeno.",2023-04-07 22:11:05,,a statement of something being negative to something.,N_Neutral,,,,,2023-04-07 21:08:06,,"Statement, negative tone",N_Neutral,,,,N_Neutral,,0.0
782,Odbor je v skladu s 128. členom Poslovnika Državnega zbora glasoval o vseh členih predloga zakona skupaj in jih sprejel.,2023-04-07 22:11:19,,factual neutral statement,P_Neutral,,,,,2023-04-07 21:08:42,,"Procedural statement, nothing negative",P_Neutral,,,,P_Neutral,,0.0
783,Minister in državni sekretar tukaj prisotni so si ogledali stanje v bolnici.,2023-04-07 22:11:43,,"Nothing inherently negative, just a statement.",P_Neutral,,,,,2023-04-07 21:09:03,,"Very neutral, statement, nothing neg.",P_Neutral,,,,P_Neutral,,0.0
784,"Posameznikom se tako nalagajo vedno nove in nove obveznosti, vendar že malenkostno odstopanje pomeni izgubo določene pravice.",2023-04-07 22:12:26,,"No actual opinion, a bit weak, negative sentiment.",N_Neutral,,,,,2023-04-07 21:09:49,,"Statement, negative connotation",N_Neutral,,,,N_Neutral,,0.0
785,"Ampak vseeno vas še enkrat prosim, da mi odgovorite na tisti del vprašanja, kjer vas sprašujem tudi po odškodninah.",2023-04-07 22:13:01,,"A bit neutral,just a question, but I think its on the negative side.",N_Neutral,,,,,2023-04-07 21:10:33,,"Statent, negative tone",N_Neutral,,,,N_Neutral,,0.0
786,"Težko si namreč predstavljamo razvoj turističnih dejavnosti brez dobrih in urejenih cest, še manj pa da njihovo uporabo ovirajo lastniki zemljišč, po katerih te ceste potekajo.",2023-04-07 22:13:13,,statement.,N_Neutral,,,,,2023-04-07 21:11:18,,"Statement, negative topic, but stil statement nontheless",N_Neutral,,,,N_Neutral,,0.0
787,"Torej, po informacijah, ki jih je gospod minister dal, tečejo zadnji sodni postopki in po njegovih informacijah, če sem prav razumel, bodo tudi preostali dolgovi poravnani.",2023-04-07 22:13:42,,Something that should be happening is happening.,P_Neutral,,,,,2023-04-07 21:12:46,,"Statement, positive connotation.",P_Neutral,,,,P_Neutral,,0.0
788,"To je, bi rekel, kar lep dosežek.",2023-04-07 22:13:49,,,Positive,,,,,2023-04-07 21:12:50,,,Positive,,,,Positive,,0.0
789,"Vprašajmo se, ali je članstvo v stranki res tako zavržno, da ljudje, ki imajo resne namene, v to ne smejo iti.",2023-04-07 22:13:55,,,Negative,,,,,2023-04-07 21:18:00,,,Negative,,,,Negative,,0.0
790,"To se pravi argumenti pred vero ne pridejo v poštev, vera pred argumenti pa.",2023-04-07 22:14:45,1.0,,N_Neutral,,,,,2023-04-07 21:18:02,,,Negative,,,,Negative,,1.0
791,"Odgovornost, ki jo prevzema član nadzornega sveta v skladu z našo zakonodajo, je pa neizmerno velika.",2023-04-07 22:14:55,,,N_Neutral,,,,,2023-04-07 21:18:06,,,N_Neutral,,,,N_Neutral,,0.0
792,"Jaz osebno zaupam državljankam in državljanom, zato bom glasoval proti.",2023-04-07 22:15:25,,"1. positive, 2. negative, trust trumps the bad.",M_Positive,,,,,2023-04-07 21:18:09,,,Negative,,,"I agree with Tamara, change to Negative",Negative,,1.0
793,"Danes se nekako oglašate tukaj kot največji zagovorniki protikorupcije, proti ne vem česa, ko ste v bistvu v tej državi pobrali kar se je pobrati dalo.",2023-04-07 22:15:56,,implied negative opinion. accusatory.,Negative,,,,,2023-04-07 21:18:20,,,Negative,,,,Negative,,0.0
794,"Predlogi, ki bi ga želeli spreminjati pa zelo parcialno rešujejo nekatere stvari in prav gotovo niso sistemski.",2023-04-07 22:16:04,,,N_Neutral,,,,,2023-04-07 21:18:39,,,Negative,,,"I agree with Tamara, change to N_Neutral",N_Neutral,,1.0
795,"Obe, denarna socialna pomoč in nadomestilo sta kratkoročnega značaja.",2023-04-07 22:16:09,,,N_Neutral,,,,,2023-04-07 21:19:13,,"Statement, negative connotation.",N_Neutral,,,,N_Neutral,,0.0
796,"Subsidiarna zaščita se prizna tudi osebi zaradi resne individualne izkazane grožnje zoper življenja ali svobodo zaradi samovoljnega nasilja v državi, od koder prihaja.",2023-04-07 22:16:38,,,Positive,,,,,2023-04-07 21:20:27,,"Statement, negative topic",N_Neutral,I also think this must be change to P_Neutral as it is just a statement. ,,"I agree that it could be at most P_neutral, I do not believe it is fully positive.",P_Neutral,,1.0
797,"Kolektivno vodenje je to, to je neučinkovitost, gospe in gospodje, to je nejasna odgovornost.",2023-04-07 22:16:47,,,Negative,,,,,2023-04-07 21:20:50,,Explicit position of the speaker,Negative,,,,Negative,,0.0
798,"Nobena tolažba za to ni, da bo sporazum nekoč prišel v ratifikacijo v Državni zbor.",2023-04-07 22:16:52,,,N_Neutral,,,,,2023-04-07 21:22:21,,Noben tolazba: heavily implied speaker position,Negative,,,"I think it might still be negative, as per my original comment; needs further diiscussion",Negative,,1.0
799,"Najprej bi želel zavrniti nekatera podtikanja opozicije, kako je Vlada zmedena in takšne floskule.",2023-04-07 22:16:57,,,Negative,,,,,2023-04-07 21:22:31,,,Negative,,,,Negative,,0.0
800,"Občina Ankaran je tako nastala – če je to prav, ne vem.",2023-04-07 22:17:13,,,N_Neutral,,,,,2023-04-07 21:24:39,1.0,"Word choice makes me think it is not neutral; explicit ""opinion"", negative.",Negative,,,I agree with Tamara,N_Neutral,,1.0
801,"Na koncu tudi ne smemo mimo člena 29, ki ureja financiranje lokalnih skupnosti.",2023-04-07 22:17:18,,,P_Neutral,,,,,2023-04-07 21:25:01,,"Statment, procedural.",P_Neutral,,,,P_Neutral,,0.0
802,"Dojameš tudi in pogledaš tisti plakat »Šola brez mask«, ne na prvo žogo, ker je duhovit plakat, gor je deklica z masko.",2023-04-11 18:28:07,1.0,"Very very confusing. I think this is something mocking, so negative.",N_Neutral,,,,,2023-04-07 21:27:24,1.0,"Statement, very confusing, but it does not seem to have negative connotation(""duhovit plakat"")",P_Neutral,,,"I agree with Tamara, that it is negative in connotation",N_Neutral,,1.0
803,"Do danes mi ni znano, da bi kdo izmed njih prepričljivo pojasnil, od kot mu tako neizmerno bogastvo.",2023-04-11 18:29:21,,"Although implied opinion, the statement is soo ambiguous, it must be labeled as neutral.",N_Neutral,,,,,2023-04-07 21:27:35,,,Negative,I agree that this is sarcastic and negative.,,"I still think this is very sarcastic and accusatory in tone, and would stick to my original label",Negative (S),,1.0
804,"Predvsem so pa, oni vedo vse, kar je kdo lagal.",2023-04-11 18:29:48,,Statement of someone elses knowledge.,N_Neutral,,,,,2023-04-07 21:28:03,,"Weird sentence, but clearly negative.",Negative,,,I agree with Tamara.,N_Neutral,,1.0
805,"Sem razmišljal zadnje dni o tem in se spomnil ene jedi, ki je zaradi alergije ne smem več jesti.",2023-04-11 18:30:35,,"Neutal statement, but he ""can't"" do something so its on the negative side.",N_Neutral,,,,,2023-04-07 21:29:36,,"Neutral statement, but negative personal association",N_Neutral,,,,N_Neutral,,0.0
806,Noben pameten delodajalec ne bo kar čez noč odpustil delavca.,2023-04-11 18:30:48,,statement,N_Neutral,,,,,2023-04-07 21:31:15,1.0,"Statement, giving out advice, very neutral, but negative topic.could also be p_neutral.",N_Neutral,,,,N_Neutral,,0.0
807,"Policisti na primer opozarjajo na to, da nadzorniki še vedno nimajo plačilnih nalogov za kaznovanje objestnih smučarjev.",2023-04-11 18:31:15,,Someone elses opnion or warning.,N_Neutral,,,,,2023-04-07 21:31:30,,,N_Neutral,,,,N_Neutral,,0.0
808,"To je edini in najmočnejši kapital, ki ga potrebuje človek, če želi uspešno delovati na političnem parketu.",2023-04-11 18:31:31,,nothing inherently negative,P_Neutral,,,,,2023-04-07 21:32:21,,Positive attitude/expressed opinion towards the topic.,Positive,,,"I agree that is it a statement, so P_Neutral",P_Neutral,,1.0
809,"Pa ne samo kolegica Violeta, tudi prej smo že poslušali, da je SDS pač rušilec države Slovenije, ni da ni.",2023-04-11 18:31:45,,strong words,Negative,,,,,2023-04-07 21:32:43,,,Negative,,,,Negative,,0.0
810,"To je tistitermin, ki je predviden in zelo natančno določen v zakonu, da se lahko tudi uvedejo omejitve zaradi izvajanja smučarske dejavnosti.",2023-04-11 18:32:55,,Nothing inherently negative. I could've gotten this wrong so it could be N_negative.,P_Neutral,,,,,2023-04-07 21:32:55,,,N_Neutral,,,"I think Tamara is right, change",P_Neutral,,1.0
811,"To je brutalno znižanje odmernega odstotka samo v časovnem obdobju devetih let, kar kaže na to, da naš pokojninski sistem ne deluje.",2023-04-11 18:33:18,,"strong words, negative themes.",Negative,,,,,2023-04-07 21:33:06,,,Negative,,,,Negative,,0.0
812,"Prav gotovo smo prepričani, da je stroka tukaj dobro premislila in da je zagotovljena kakovost vseh, ki bodo po teh novih postopkih opravljali to zelo pomembno dejavnost.",2023-04-11 18:33:37,,positive opinion expressed.,Positive,,,,,2023-04-07 21:33:24,,,Positive,,,,Positive,,0.0
813,"Za izračun katastrskega dohodka je pristojna Geodetska uprava Republike Slovenije, ki pa svojega dela ni pravočasno opravila.",2023-04-11 18:33:51,,statement,N_Neutral,,,,,2023-04-07 21:34:06,1.0,"Accusatory, not really neutral, negative.",Negative,,,"I agree that it is a bit weak to be fully negative, change",N_Neutral,,1.0
814,"Če ni določen rok, lahko državni zbor čaka sto let in ničesar ne krši formalno, dejansko pa, seveda, krši ustavno pravico.",2023-04-11 18:34:13,,"""krsi ustavno pravico"" is very very negative!",Negative,,,,,2023-04-07 21:35:26,,"Statement, implied speaker position on/with a very negative topic/tone.",Negative,,,,Negative,,0.0
815,"To pa pomeni, da moramo imeti učinkovit mehanizem, ki kršitelje zakona tudi ustrezno kaznujejo.",2023-04-11 18:34:31,,neutral statement,N_Neutral,,,,,2023-04-07 21:37:31,,,P_Neutral,,,"I guess it deals with a negative topic, so I would change",N_Neutral,,1.0
816,"O anonimkah pa ne bom, ker imam za anonimke samo dva izraza: gnus in prezir.",2023-04-11 18:34:46,,strong opinion,Negative,,,,,2023-04-07 21:37:43,,,Negative,,,,Negative,,0.0
817,"Zadnji predlagan amandma vladajočih, s katerim umikajo najbolj sporen člen zakonskega predloga, je dokaz, kako pravilni so argumenti civilnih iniciativ, strokovnih združenj in okoljsko ozaveščene politike.",2023-04-11 18:35:47,,statememt with positive sentiment.,P_Neutral,,,,,2023-04-07 21:38:47,,"First part negative, second positive.",M_Positive,,,"I think it is still more of a M sentence than P_Neutral, but could also be P_neutral, to be discussed",P_Neutral,,1.0
818,Toda za naše razmere v Sloveniji je 12 mesecev več kot dovolj.,2023-04-11 18:36:09,,could also be n_neutral,P_Neutral,,,,,2023-04-07 21:39:32,,"Statement, weakly implied position, positive tone",P_Neutral,,,,P_Neutral,,0.0
819,"Danes ima znanost, zlasti pa nevrologija, in veliko podatkovje, biga data, mogočno orodje za proučevanje delovanja družbe.",2023-04-11 18:36:38,,"nothing inherently negative, just a statement.",P_Neutral,,,,,2023-04-07 21:40:53,1.0,"Heavily implied opinion of speaker, positive tone. Could also be p_neutral.",Positive,,,I agree that it is a statement,P_Neutral,,1.0
820,"Tistim, ki so v preiskavi, zato ker je to tih pritisk na vse tiste, ki bodo v teh medijsko odmevnih akcijah sodili.",2023-04-11 18:37:10,,"no opinion, too vague and confusing",N_Neutral,,,,,2023-04-07 21:41:23,,"Weird sentence, but negative tone",Negative,,,"I guess the opinon is missing, so I could settle with N_Neutral",N_Neutral,,1.0
821,"Ampak, naj spomnim: lani ste vi ta davek, davek na dodano vrednost, zabetonirali pri 22 %.",2023-04-11 21:26:07,,"""zabetonirali"" seems like a really strong word with negative meaning",Negative,,,,,2023-04-07 21:41:42,,,Negative,,,,Negative,,0.0
822,"Ampak kriv je pa tudi resor, da znotraj vlade ni znal ministru za šolstvo dopovedati, da s takšnim pristopom do mature, do vpisa na univerzo,ni perspektive.",2023-04-11 21:26:26,,implied opinion. very negative.,Negative,,,,,2023-04-07 21:41:54,,,Negative,,,,Negative,,0.0
823,"Zato bi bilo pričakovati, da Vlada v resnici stori tisto na ravni resnega problema.",2023-04-11 21:27:14,,statement with negative sentiment,N_Neutral,,,,,2023-04-07 21:42:25,,"Heavuly implied opinion, accusatory tone, not neutral",Negative,,,"I guess the sentence is still a bit vague, so I think that it really could be N_Neutral",N_Neutral,,1.0
824,"Ta pojav je bolj malo prepoznan in viden, ne tako kot, recimo, seksizem ali pa rasizem, vendar gre tudi tu za nesprejemljivo diskriminacijo.",2023-04-11 21:27:41,,very negative themes,Negative,,,,,2023-04-07 21:46:50,1.0,"Negative topic, but positive affirmation by the speaker.",P_Neutral,I agree with Katja. ,,"Negative topic, but positive affirmation by the speaker.",P_Neutral,,1.0
825,V Slovenski nacionalni stranki smo skeptični do vladnih ukrepov na področju gospodarstva.,2023-04-11 21:27:47,,,Negative,,,,,2023-04-07 21:47:00,,,Negative,,,,Negative,,0.0
826,"To društvo je tudi ustanovilo muzej, kjer naj bi zbirali Puchove motorje, ki pa je najbolj znan po tem, da so ga že nekajkrat požgali.",2023-04-11 21:28:23,,"first part positive (neutral), second part negative.",M_Negative,,,,,2023-04-07 21:48:11,,"Negative implications, negative tone, not neutral",Negative,It's a statement and I see negative connotation. ,,Could it be N_Neutral? I do not see the positive part of the M label...,N_Neutral,,1.0
827,"Nobena odstranitev organov pa se ne sme opraviti, če obstaja ali se domneva ugovor s strani pokojnika.",2023-04-11 21:28:46,1.0,factual statement,N_Neutral,,,,,2023-04-07 21:48:56,,"Statement with morbid topic, but statement nontheless.",N_Neutral,,,,N_Neutral,,0.0
828,"To jih je vodilo v to, da so to osebo volili.",2023-04-11 21:29:29,,"nothing inherently negative, but with a little context this could easily be N_neutral.",P_Neutral,,,,,2023-04-07 21:51:30,1.0,"Could also have entirelly different sentiment, but it is not neutral and sounds negative.",Negative,It probably truly leans on the negative side. ,,I think it is N_Neutral,N_Neutral,,1.0
829,"Na to temo je bila na matičnem delovnem telesu opravljena skorajda, lahko rečem, širša razprava, izpostavljene so bile dileme.",2023-04-11 21:29:38,,,N_Neutral,,,,,2023-04-07 21:55:11,,"Statement, nothing inherently negative.",P_Neutral,,,"I agree with Tamara, it does lean more toward negative",N_Neutral,,1.0
830,"Tu je treba zelo jasno povedati, da pri tem dejanju ni potrebno, da se javnost vznemiri.",2023-04-11 21:30:00,,something bad is happening?,N_Neutral,,,,,2023-04-07 21:55:29,,,N_Neutral,,,,N_Neutral,,0.0
831,"V žepih direktorjev, ki so s pomočjo države krepili lastni račun za firme, ki pa so jih dobili na lahek način – pa so se požvižgali.",2023-04-11 21:30:12,,very negative theme,Negative,,,,,2023-04-07 21:55:41,,,Negative,,,,Negative,,0.0
